experiment_name,model_name,run_number,analysis_seconds,migration_seconds,total_seconds,analysis_minutes,migration_minutes,total_minutes,analysis_ratio,migration_ratio,cost_usd,cost_per_minute,errors_per_minute
ModelSelectionExperiment_claudeHaiku45_1,claudeHaiku45,1,104,642,746,1.7333333333333334,10.7,12.433333333333334,0.13941018766756033,0.8605898123324397,0.0,0.0,17.21179624664879
ModelSelectionExperiment_claudeHaiku45_2,claudeHaiku45,2,112,476,588,1.8666666666666667,7.933333333333334,9.8,0.19047619047619047,0.8095238095238095,0.0,0.0,31.326530612244895
ModelSelectionExperiment_claudeHaiku45_3,claudeHaiku45,3,115,938,1053,1.9166666666666667,15.633333333333333,17.55,0.10921177587844255,0.8907882241215574,0.0,0.0,11.282051282051281
ModelSelectionExperiment_claudeOpuse48_1,claudeOpuse48,1,116,808,924,1.9333333333333333,13.466666666666667,15.4,0.12554112554112554,0.8744588744588745,11.382206,0.7391042857142857,8.96103896103896
ModelSelectionExperiment_claudeSonette46_1,claudeSonette46,1,114,2225,2339,1.9,37.083333333333336,38.983333333333334,0.04873877725523728,0.9512612227447628,17.842853,0.45770465156049595,3.1038905515177424
ModelSelectionExperiment_gpt56luna_1,gpt56luna,1,119,374,493,1.9833333333333334,6.233333333333333,8.216666666666667,0.2413793103448276,0.7586206896551724,3.528895,0.4294801217038539,14.969574036511156
ModelSelectionExperiment_gpt56luna_2,gpt56luna,2,107,684,791,1.7833333333333334,11.4,13.183333333333334,0.13527180783817952,0.8647281921618205,4.48001,0.3398237673830594,3.9443742098609356
ModelSelectionExperiment_gpt56luna_3,gpt56luna,3,116,348,464,1.9333333333333333,5.8,7.733333333333333,0.25,0.75,2.855488,0.36924413793103444,17.198275862068964
ModelSelectionExperiment_gpt56sol_1,gpt56sol,1,105,1092,1197,1.75,18.2,19.95,0.08771929824561403,0.9122807017543859,5.924838,0.29698436090225566,7.268170426065163
ModelSelectionExperiment_gpt56sol_2,gpt56sol,2,102,998,1100,1.7,16.633333333333333,18.333333333333332,0.09272727272727273,0.9072727272727272,11.916414,0.6499862181818182,9.272727272727273
ModelSelectionExperiment_gpt56sol_3,gpt56sol,3,118,787,905,1.9666666666666666,13.116666666666667,15.083333333333334,0.13038674033149172,0.8696132596685083,16.953914,1.1240163977900552,7.558011049723756
ModelSelectionExperiment_gpt56terra_1,gpt56terra,1,101,669,770,1.6833333333333333,11.15,12.833333333333334,0.13116883116883116,0.8688311688311688,1.903513,0.1483256883116883,8.493506493506493
ModelSelectionExperiment_gpt56terra_2,gpt56terra,2,114,558,672,1.9,9.3,11.2,0.16964285714285715,0.8303571428571429,3.95478,0.3531053571428572,10.446428571428573
ModelSelectionExperiment_gpt56terra_3,gpt56terra,3,102,479,581,1.7,7.983333333333333,9.683333333333334,0.17555938037865748,0.8244406196213425,5.474814,0.5653852667814113,5.679862306368331
