model_name,num_runs,cost_mean,cost_std,cost_min,cost_max,duration_mean_min,duration_std_min,duration_min_min,duration_max_min,errors_mean,errors_std,errors_min,errors_max,warnings_mean,warnings_std,cost_per_error,time_per_error_sec
claudeHaiku45,3,0.0,0.0,0.0,0.0,13.261111111111111,3.2176116439617175,9.8,17.55,239.66666666666666,48.05783552715994,198,307,9.333333333333334,12.498888839501783,0.0,3.3198887343532686
claudeOpuse48,1,11.382206,0.0,11.382206,11.382206,15.4,0.0,15.4,15.4,138.0,0.0,138,138,64.0,0.0,0.0824797536231884,6.695652173913044
claudeSonette46,1,17.842853,0.0,17.842853,17.842853,38.983333333333334,0.0,38.983333333333334,38.983333333333334,121.0,0.0,121,121,53.0,0.0,0.14746159504132234,19.330578512396695
gpt56luna,3,3.6214643333333334,0.6664306631732634,2.855488,4.48001,9.71111111111111,2.463148141186822,7.733333333333333,13.183333333333334,102.66666666666667,36.058594290712755,52,133,55.0,10.23067283548187,0.03527400324675325,5.675324675324675
gpt56sol,3,11.598388666666667,4.5082135736102344,5.924838,16.953914,17.788888888888888,2.023763149173,15.083333333333334,19.95,143.0,22.90560339014597,114,170,99.66666666666667,40.663934334438856,0.08110761305361305,7.463869463869464
gpt56terra,3,3.7777023333333335,1.463344362109009,1.903513,5.474814,11.238888888888889,1.2862760873309844,9.683333333333334,12.833333333333334,93.66666666666667,27.535835237417846,55,117,54.0,10.801234497346433,0.04033134163701067,7.199288256227758
