,TaskMonitor,IntensityProfiler,ObjectTrackEditor
C1,100.0,100.0,33.33333333333333
C2,100.0,66.66666666666666,33.33333333333333
C3,100.0,66.66666666666666,33.33333333333333
C4,100.0,66.66666666666666,66.66666666666666
C5,100.0,0.0,66.66666666666666
C6,100.0,33.33333333333333,0.0
C7,100.0,0.0,0.0
C8,100.0,0.0,0.0
