metric,factor,level_a,level_b,n_a,n_b,mean_a,mean_b,median_a,median_b,h_value,p_value,epsilon_squared,cliffs_delta,n,analysis_role,p_holm
errors,Scaffold,On,Off,12,12,23.416666666666668,30.166666666666668,12.5,23.0,1.2059549745824396,0.272134711017632,0.009361589753747256,-0.2638888888888889,24,exploratory,0.544269422035264
errors,Repair,On,Off,12,12,19.833333333333332,33.75,15.5,21.0,0.8025780682643534,0.3703236855883705,0.0,-0.2152777777777778,24,exploratory,0.544269422035264
errors,Planner,LLM,Rule,12,12,37.833333333333336,15.75,21.5,10.5,3.861728395061734,0.04939941464091752,0.130078563411897,0.4722222222222222,24,exploratory,0.14819824392275258
hi_count,Scaffold,On,Off,12,12,3.5833333333333335,2.9166666666666665,4.0,3.0,0.17264093137255723,0.6777753150411616,0.0,0.09722222222222222,24,exploratory,0.6777753150411616
hi_count,Repair,On,Off,12,12,4.083333333333333,2.4166666666666665,5.0,2.0,2.291015625000004,0.1301247504114957,0.05868252840909109,0.3541666666666667,24,exploratory,0.3903742512344871
hi_count,Planner,LLM,Rule,12,12,2.6666666666666665,3.8333333333333335,1.5,4.5,1.55376838235294,0.21257998670678588,0.025171290106951818,-0.2916666666666667,24,exploratory,0.42515997341357176
