factor,level,n,build_success_pct,partial_build_count_mean,partial_build_rate_pct_mean,partial_build_hi_count_mean,partial_build_hi_rate_pct_mean,openable_dialog_count_mean,openable_dialog_rate_pct_mean,errors_mean,errors_median,hi_count_mean,duration_mean_s,cost_mean,tokens_mean,plan_steps_mean,ssim_mean,ssim_coverage_pct_mean,visual_quality_score_mean
Scaffold,On,12,0.0,1.6666666666666667,55.55555555555554,2.5833333333333335,86.1111111111111,2.25,74.99999999999999,23.416666666666668,12.5,3.5833333333333335,3299.3333333333335,4.008333333333334,2837971.1666666665,21.333333333333332,0.6323165796795819,72.22222222222221,0.4590138695110575
Scaffold,Off,12,8.333333333333332,1.9166666666666667,63.88888888888888,2.5,83.33333333333333,1.25,41.66666666666666,30.166666666666668,23.0,2.9166666666666665,3841.25,4.865833333333335,3641190.9166666665,21.5,0.5643843119436743,41.66666666666666,0.23230271742967865
Repair,On,12,0.0,2.0,66.66666666666664,2.6666666666666665,88.88888888888887,1.75,58.33333333333334,19.833333333333332,15.5,4.083333333333333,3255.6666666666665,4.029166666666666,2812402.75,21.583333333333332,0.5920295420814788,58.33333333333334,0.3520891364417993
Repair,Off,12,8.333333333333332,1.5833333333333333,52.77777777777777,2.4166666666666665,80.55555555555556,1.75,58.33333333333334,33.75,21.0,2.4166666666666665,3884.9166666666665,4.845000000000001,3666759.3333333335,21.25,0.6046713495417773,55.555555555555564,0.33922745049893677
Planner,LLM,12,0.0,1.5833333333333333,52.77777777777777,2.1666666666666665,72.22222222222221,1.8333333333333333,61.111111111111114,37.833333333333336,21.5,2.6666666666666665,4440.5,5.529166666666668,3946751.8333333335,24.833333333333332,0.6108650241012072,61.111111111111114,0.3786272066732372
Planner,Rule,12,8.333333333333332,2.0,66.66666666666666,2.9166666666666665,97.22222222222221,1.6666666666666667,55.555555555555564,15.75,10.5,3.8333333333333335,2700.0833333333335,3.3450000000000006,2532410.25,18.0,0.585835867522049,52.77777777777778,0.312689380267499
