,TaskMonitor,IntensityProfiler,ObjectTrackEditor
C1,0.6071805632360956,0.7637280870774066,0.8210999984362529
C2,0.6058531784325082,0.7651300682490842,0.4268805261254802
C3,0.6023818242751203,0.7650253609024082,0.30135764046290553
C4,0.6070814657847944,0.7606803530037541,0.41740710832257977
C5,0.579445504394389,,0.3326183476996549
C6,0.5820262116140863,0.7724014495138679,
C7,0.5664186396174852,,
C8,0.5805295385591241,,
