config,openable_dialog_rate_pct,partial_build_rate_pct,hi_count,errors,cost,visual_quality_score,n,openable_dialog_rate_pct_normalized,openable_dialog_rate_pct_weighted,partial_build_rate_pct_normalized,partial_build_rate_pct_weighted,hi_count_normalized,hi_count_weighted,errors_normalized,errors_weighted,cost_normalized,cost_weighted,visual_quality_score_normalized,visual_quality_score_weighted,decision_data_complete,decision_score,pareto_optimal,decision_rank
C1,77.77777777777777,66.66666666666666,4.666666666666667,15.0,3.8800000000000003,0.5482028832640844,3,0.8000000000000002,0.20000000000000004,0.7499999999999999,0.15,0.0,0.0,0.8581081081081081,0.04290540540540541,0.6873905429071803,0.03436952714535901,1.0,0.35,True,0.7772749325507644,True,1
C4,88.88888888888887,55.55555555555554,4.0,13.333333333333334,3.6199999999999997,0.4641577022230057,3,1.0,0.25,0.49999999999999983,0.09999999999999998,0.18181818181818188,0.018181818181818188,0.8918918918918919,0.0445945945945946,0.75569176882662,0.03778458844133101,0.7661492494422514,0.268152237304788,True,0.7187132385225318,True,2
C3,66.66666666666667,66.66666666666666,4.0,8.0,2.69,0.404283759454787,3,0.6000000000000003,0.15000000000000008,0.7499999999999999,0.15,0.18181818181818188,0.018181818181818188,1.0,0.05,1.0,0.05,0.5995535412557691,0.20984373943951917,True,0.6280255576213374,True,3
C2,66.66666666666667,33.33333333333333,1.6666666666666667,57.333333333333336,5.843333333333334,0.4194111331023526,3,0.6000000000000003,0.15000000000000008,0.0,0.0,0.8181818181818181,0.08181818181818182,0.0,0.0,0.17162872154115583,0.008581436077057792,0.6416445646509318,0.2245755976278261,True,0.4649752155230658,True,4
C5,55.55555555555554,66.66666666666666,3.3333333333333335,31.333333333333332,5.896666666666666,0.2670636898424974,3,0.39999999999999997,0.09999999999999999,0.7499999999999999,0.15,0.36363636363636365,0.03636363636363637,0.5270270270270271,0.026351351351351356,0.15761821366024553,0.007880910683012277,0.21774680501069746,0.0762113817537441,True,0.39680728015174405,True,5
C8,33.33333333333333,77.77777777777777,3.0,16.666666666666668,3.42,0.1935098461863747,3,0.0,0.0,1.0,0.2,0.4545454545454546,0.04545454545454546,0.8243243243243243,0.04121621621621622,0.808231173380035,0.04041155866900176,0.013087580860957675,0.004580653301335186,True,0.33166297364109865,True,6
C6,44.444444444444436,44.444444444444436,1.0,47.666666666666664,6.496666666666667,0.2798311204840141,3,0.19999999999999998,0.049999999999999996,0.24999999999999992,0.04999999999999999,1.0,0.1,0.19594594594594605,0.009797297297297303,0.0,0.0,0.2532714264253788,0.08864499924888258,True,0.2984422965461799,True,7
C7,33.33333333333333,66.66666666666666,4.333333333333333,25.0,3.65,0.18880621320582835,3,0.0,0.0,0.7499999999999999,0.15,0.09090909090909105,0.009090909090909106,0.6554054054054055,0.032770270270270276,0.7478108581436078,0.03739054290718039,0.0,0.0,True,0.22925172226835977,False,8
